text,label
"Government announces new education scheme for students",real
"Scientists discover a new method to reduce plastic waste",real
"President announces new national development program",real
"Researchers develop technology to improve solar energy",real
"New study shows exercise can improve mental health",real
"Aliens have landed in Chennai and are living among humans",fake
"Drinking hot water can make you live forever",fake
"Scientists confirm that humans can survive without sleep",fake
"Government gives every citizen a free luxury car",fake
"People can become invisible by eating special fruits",fake
"New railway project approved to improve transportation",real
"University launches scholarship program for students",real
"Scientists create new battery technology",real
"Doctors recommend regular physical activity for healthy living",real
"Government introduces new digital services for citizens",real
"Moon will disappear from the sky for seven days",fake
"Scientists discover a magical plant that cures every disease",fake
"Internet users will receive one million rupees for sharing this message",fake
"Drinking coffee gives humans the ability to fly",fake
"Scientists say the Earth will stop rotating tomorrow",fake
